Composition,Evac,oxidation_state,atom
Ag2O,2.3,1,Ag
Cs2O,4.4,1,Cs
Cu2O,4,1,Cu
Hg2O,1,1,Hg
K2O,5.4,1,K
Li2O,7.2,1,Li
Na2O,5.5,1,Na
Rb2O,4,1,Rb
Tl2O,2.5,1,Tl
AgO,1.6,2,Ag
BaO,6.5,2,Ba
BeO,7.8,2,Be
CaO,7.3,2,Ca
CdO,2.8,2,Cd
CoO,4.8,2,Co
CrO,5.3,2,Cr
CuO,2.5,2,Cu
EuO,7.9,2,Eu
FeO,5.1,2,Fe
HgO,2.1,2,Hg
MgO,7.2,2,Mg
MnO,5.1,2,Mn
NiO,5.3,2,Ni
PbO,3.7,2,Pb
SrO,7,2,Sr
VO,5.5,2,V
YbO,8.2,2,Yb
ZnO,4.3,2,Zn
Al2O3,7,3,Al
Bi2O3,3.8,3,Bi
Ce2O3,6.8,3,Ce
Co2O3,2.8,3,Co
Cr2O3,5.7,3,Cr
Dy2O3,7.1,3,Dy
Er2O3,7.2,3,Er
Fe2O3,3.6,3,Fe
Ga2O3,5.1,3,Ga
Gd2O3,7.1,3,Gd
Ho2O3,7.1,3,Ho
In2O3,4.2,3,In
La2O3,7,3,La
Lu2O3,7.2,3,Lu
Mn2O3,3.6,3,Mn
Nb2O3,5.1,3,Nb
Nd2O3,6.9,3,Nd
Ni2O3,1.6,3,Ni
Pd2O3,2.4,3,Pd
Pr2O3,6.8,3,Pr
Rh2O3,3.3,3,Rh
Ru2O3,3.7,3,Ru
Sc2O3,6.9,3,Sc
Sm2O3,7,3,Sm
Tb2O3,7.1,3,Tb
Ti2O3,6.2,3,Ti
Tl2O3,1.9,3,Tl
Tm2O3,7.2,3,Tm
V2O3,5.7,3,V
Y2O3,7,3,Y
CeO2,3,4,Ce
CoO2,1.8,4,Co
CrO2,3.1,4,Cr
FeO2,1.8,4,Fe
GeO2,4.9,4,Ge
HfO2,7.1,4,Hf
IrO2,3.9,4,Ir
MnO2,2.9,4,Mn
MoO2,5.6,4,Mo
NbO2,6.2,4,Nb
NiO2,1.9,4,Ni
PbO2,1.7,4,Pb
PdO2,1.9,4,Pd
ReO2,5,4,Re
RhO2,3,4,Rh
RuO2,3.9,4,Ru
SiO2,6.5,4,Si
SnO2,4.3,4,Sn
TaO2,6.5,4,Ta
TiO2,5.4,4,Ti
VO2,4.7,4,V
ZrO2,6.4,4,Zr
As2O5,3,5,As
Bi2O5,1.1,5,Bi
Ir2O5,3.2,5,Ir
Mo2O5,5.3,5,Mo
Nb2O5,6,5,Nb
Re2O5,5.3,5,Re
Ru2O5,3,5,Ru
Sb2O5,3.2,5,Sb
Ta2O5,6.9,5,Ta
V2O5,3.8,5,V
W2O5,6.2,5,W
IrO3,2.6,6,Ir
MoO3,4.7,6,Mo
ReO3,4.6,6,Re
RuO3,2.1,6,Ru
TeO3,2.5,6,Te
WO3,5.3,6,W
